artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
taylor mcferrin,memory digital,2019,0.02437578,0.001096491,0.001096491,0.001096491,0.023550774,0.001096491,0.001096491,0.222551232,0.001096491,0.053372754,0.160971155,0.351264664,0.776887252,0.718672712,0.579566449,https://www.youtube.com/watch?v=vNdFivcivjg
dirty loops,work shit out,2019,0.001547988,0.001547988,0.001547988,0.12583397,0.001547988,0.001547988,0.105851078,0.001547988,0.588649878,0.001547988,0.001547988,0.045885578,0.56460522,0.218878813,0.792786321,https://www.youtube.com/watch?v=r_GTgpdoCh0
deca,donner bell,2019,0.000634115,0.473529433,0.09300335,0.099777134,0.000634115,0.000634115,0.000634115,0.000634115,0.078383641,0.000634116,0.039695651,0.000634115,0.673995451,0.504328112,0.844839999,https://www.youtube.com/watch?v=Zqo17ed0rY0
cyrille aimee,loving you,2019,0.001949318,0.001949318,0.541261952,0.001949318,0.001949318,0.001949318,0.310343394,0.001949318,0.001949318,0.043103826,0.001949318,0.001949318,0.605761941,0.466199505,0.188162834,https://www.youtube.com/watch?v=2aUdRqfXU7E
nicki parrott,i will wait for you,2019,0.000809717,0.358051232,0.151776723,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.025918243,0.000809717,0.431387415,0.224031327,0.179153543,https://www.youtube.com/watch?v=iBNm5FlyJvc
devin townsend,spirits will collide,2019,0.001144165,0.038496197,0.500536485,0.001144165,0.001144165,0.001144165,0.027425292,0.001144165,0.001144165,0.001144165,0.001144165,0.218141673,0.313332611,0.320898599,0.675665546,https://www.youtube.com/watch?v=AdHJurX0yVA
uneven structure,innocent,2019,0.001052632,0.103754771,0.200791829,0.09696453,0.001052632,0.001052632,0.079091476,0.001052632,0.001052632,0.001052632,0.001052632,0.334589424,0.490956352,0.31780709,0.687677933,https://www.youtube.com/watch?v=YOnhAmfZUTI
juju rogers,babylon,2019,0.037103572,0.00074129,0.089256144,0.00074129,0.057768223,0.02518175,0.018256752,0.047558188,0.345344753,0.00074129,0.140496107,0.00074129,0.64583559,0.549670239,0.576563352,https://www.youtube.com/watch?v=cNMBM1lD-_c
groove armada,i'll be searching (for you),2019,0.002105263,0.479460681,0.002105263,0.002105264,0.002105263,0.042666035,0.002105263,0.002105263,0.404174126,0.002105263,0.002105263,0.002105263,0.602512726,0.342539159,0.801795612,https://www.youtube.com/watch?v=DDjoouqRnhk
george duke,"the morning, you & love",2019,0.190636961,0.00877193,0.00877193,0.00877193,0.00877193,0.151703069,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.00877193,0.515866999,0.327081616,0.355335222,https://www.youtube.com/watch?v=DRywDi7a_9s
tia ray,trust myself (feat. gallant),2019,0.001422475,0.526035523,0.001422475,0.03407083,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.001422475,0.410809054,0.468260511,0.402383738,https://www.youtube.com/watch?v=9wjz4k2Lu-w
thank you scientist,terraformer,2019,0.00075188,0.00075188,0.128446769,0.064526793,0.00075188,0.00075188,0.00075188,0.325360998,0.039187919,0.00075188,0.00075188,0.382395039,0.266760533,0.372423743,0.978978322,https://www.youtube.com/watch?v=OKKWQEpS8hI
thank you scientist,life of vermin,2019,0.000591366,0.389834904,0.068922196,0.035144762,0.000591366,0.000591366,0.000591366,0.000591366,0.054640943,0.02912952,0.070117315,0.111577116,0.389147623,0.486809563,0.958957677,https://www.youtube.com/watch?v=h9DqfvI07Ng
gramatik,puff your cares away,2019,0.002392345,0.002392345,0.002392345,0.002392345,0.002392344,0.054438164,0.002392345,0.064960588,0.110930996,0.34231748,0.002392345,0.178207877,0.514783927,0.470321517,0.813807999,https://www.youtube.com/watch?v=CJs8ahbMRCM
reel people,i need your lovin',2019,0.002105263,0.035716048,0.07554962,0.002105263,0.002105263,0.002105263,0.341588626,0.002105263,0.002105263,0.002105263,0.223649279,0.002105263,0.78880104,0.307502061,0.673663482,https://www.youtube.com/watch?v=xjxyZiw05Z4
thank you scientist,geronimo,2019,0.00074129,0.123172008,0.408148993,0.072051077,0.063638602,0.00074129,0.00074129,0.00074129,0.00074129,0.00074129,0.00074129,0.227660697,0.32632947,0.174567189,0.908906064,https://www.youtube.com/watch?v=w9kGsnrCK8s
