artist_name,track_name,release_date,dating,violence,worldlife,nighttime,shaketheaudience,familygospel,romance,communication,obsence,music,likegirls,sadness,danceability,valence,energy,url
adam lambert,ghost town,2015,0.000797448,0.379461576,0.061093453,0.055926369,0.000797448,0.000797448,0.000797448,0.000797448,0.022436719,0.026697799,0.000797448,0.379154549,0.694573811,0.258037923,0.736728514,https://www.youtube.com/watch?v=Ix8ocFEMa1o
chris brown,liquor,2015,0.03149427,0.000521105,0.000521105,0.000521105,0.053649605,0.053323586,0.000521105,0.000521105,0.349417761,0.000521105,0.122744805,0.000521105,0.676161594,0.41776587,0.342321802,https://www.youtube.com/watch?v=HKErmFliQG0
drake,preach,2015,0.012938739,0.000604961,0.013745245,0.060983263,0.05264402,0.000604961,0.000604961,0.231245826,0.422429757,0.000604961,0.000604961,0.000604961,0.542943789,0.38582028,0.501485932,https://www.youtube.com/watch?v=lOhZl4tD744
skizzy mars,do you there (feat. marc e. bassy),2015,0.018574512,0.000411184,0.000411184,0.093228984,0.019633008,0.000411184,0.000411184,0.108407823,0.35116494,0.000411184,0.1780608,0.049633587,0.499620925,0.43219291,0.842837934,https://www.youtube.com/watch?v=S0Bxuf24OWE
logic,i am the greatest,2015,0.000797448,0.000797448,0.000797448,0.046791662,0.01672795,0.000797448,0.000797448,0.06907726,0.742970257,0.000797448,0.000797448,0.000797448,0.800714827,0.3569662,0.815810063,https://www.youtube.com/watch?v=aHW3mU51bjY
rainbow kitten surprise,goodnight chicago,2015,0.001315789,0.362089306,0.038022234,0.00131579,0.001315789,0.001315789,0.11753409,0.00131579,0.00131579,0.001315789,0.00131579,0.209945808,0.718401386,0.23227535,0.362342448,https://www.youtube.com/watch?v=kq8VLbphCfo
logic,like woah,2015,0.000421053,0.000421053,0.000421053,0.000421053,0.033021872,0.000421053,0.018116221,0.166838397,0.31533087,0.053347724,0.266853225,0.000421053,0.709736814,0.388911789,0.907905032,https://www.youtube.com/watch?v=EQX5DMOkhqo
russ,down for you,2015,0.120106276,0.054487649,0.066134381,0.000674764,0.201797782,0.013723382,0.041659864,0.000674764,0.303895614,0.000674764,0.000674764,0.000674764,0.719484458,0.390972795,0.388369286,https://www.youtube.com/watch?v=Yp-ESA3OjVM
ryan stevenson,eye of the storm (feat. gabe real),2015,0.001074114,0.079895839,0.001074114,0.001074114,0.041919034,0.03503626,0.001074114,0.001074114,0.001074114,0.001074114,0.001074114,0.385985282,0.263511318,0.54657873,0.726718192,https://www.youtube.com/watch?v=-sx8wTnnfSc
the weeknd,real life,2015,0.0097327,0.000438597,0.331445362,0.000438597,0.070518956,0.088774668,0.033363911,0.160915245,0.0173125,0.000438597,0.000438596,0.055231663,0.562439077,0.33223413,0.653642836,https://www.youtube.com/watch?v=EjlLdjzE7dg
